publication_id,title,authors,journal,year,doi
95,"Apparent Temperature and Cause-Specific Emergency Hospital Admissions in Greater Copenhagen, Denmark","Wichmann, Janine; Andersen, Zorana; Ketzel, Matthias; Ellermann, Thomas; Loft, Steffen",PLoS ONE,2011,https://doi.org/10.1371/journal.pone.0022904
96,"Extreme temperatures and emergency department admissions for childhood asthma in Brisbane, Australia","Xu, Zhiwei; Huang, Cunrui; Hu, Wenbiao; Turner, Lyle R; Su, Hong; Tong, Shilu",Occupational and Environmental Medicine,2013,https://doi.org/10.1136/oemed-2013-101538
97,Epidemiology of asthma exacerbations and their relation with environmental factors in the Basque Country,"Altzibar, J. M.; Tamayo‐Uria, I.; De Castro, V.; Aginagalde, X.; Albizu, M. V.; Lertxundi, A.; Benito, J.; Busca, P.; Antepara, I.; Landa, J.; Mokoroa, O.; Dorronsoro, M.",Clinical & Experimental Allergy,2015,https://doi.org/10.1111/cea.12419
98,Severe and Moderate Asthma Exacerbations in Asthmatic Children and Exposure to Ambient Air Pollutants,"Tétreault, Louis-Francois; Doucet, Marieve; Gamache, Philippe; Fournier, Michel; Brand, Allan; Kosatsky, Tom; Smargiassi, Audrey",International Journal of Environmental Research and Public Health,2016,https://doi.org/10.3390/ijerph13080771
101,Heat Exposure Following the Rainy Season Is Associated With an Increased Risk of Cardiovascular Emergency Among the Elderly in Japan,Ryohei Fujimoto;Etsuji Suzuki;Saori Kashima;Kazufumi Nakamura;Hiromichi Naito;Atsunori Nakao;Hiroshi Ito;Takashi Yorifuji,Journal of the American Heart Association,2023,https://doi.org/10.1161/JAHA.122.027046
102,Differential Time-Lag Effects of Ambient PM2.5 and PM2.5-Bound PAHs on Asthma Emergency Department Visits,Shih-Chang Hsu;Jer-Hwa Chang;Chon-Lin Lee;Wen-Cheng Huang;Yuan-Pin Hsu;Chung-Te Liu;Shio-Shin Jean;Shau-Ku Huang;Chin-Wang Hsu,Environmental Science and Pollution Research,2020,https://doi.org/10.1007/s11356-020-10243-y
103,"Short-term PM10 and Emergency Department Admissions for Selective Cardiovascular and Respiratory Diseases in Beijing, China",Wei Feng;Haibin Li;Shuo Wang;Nicholas Van Halm-Lutterodt;Ji An;Yue Liu;Mengyang Liu;Xiaonan Wang;Xiuhua Guo,Science of The Total Environment,2019,https://doi.org/10.1016/j.scitotenv.2018.12.066
104,A Multifactorial Evaluation of the Effects of Air Pollution and Meteorological Factors on Asthma Exacerbation,Hong-Ren Yu;Chun-Hung Richard Lin;Jui-Hsiu Tsai;Yun-Ting Hsieh;Ti-An Tsai;Chang-Ku Tsai;Yi-Chen Lee;Ta-Yu Liu;Chih-Min Tsai;Chih-Cheng Chen;Chih-Hao Chang;Te-Yao Hsu;Chen-Kuang Niu,International Journal of Environmental Research and Public Health,2020,https://doi.org/10.3390/ijerph17114010
105,"Ambient Air Pollution and Emergency Department Visits for Asthma in Erie County, New York 2007-2012",Jessica Castner;Lingfei Guo;Yong Yin,International Archives of Occupational and Environmental Health,2018,https://doi.org/10.1007/s00420-017-1270-7
106,The association between air pollutions and emergency hospitalizations due to COPD and asthma across 16 Polish cities,Monika Ścibor;Katarzyna Leoszkiewicz;Agnieszka Micek;Karol Chomoncik;Katarzyna Dubas-Jakóbczyk;Ewa Kocot;Agata Bąk;Jolanta Kucińska;Dominik Dziurda;Roman Topór-Mądry,International Journal of Occupational Medicine and Environmental Health,2024,https://doi.org/10.13075/ijomeh.1896.02197
107,The Effects of Air Pollution on Cardiovascular and Respiratory Causes of Emergency Admission,Ali Mohammad Shahi;Ali Omraninava;Mitra Goli;Hamid Reza Soheilarezoomand;Nader Mirzaei,Not specified,,nil
108,The Impact of the February 2012 Cold Spell on Health in Italy Using Surveillance Data,Francesca K. de'Donato;Michela Leone;Damia Noce;Marina Davoli;Paola Michelozzi,PLoS ONE,2013,https://doi.org/10.1371/journal.pone.0061720
109,Mortality and morbidity of asthma and chronic obstructive pulmonary disease associated with ambient environment in metropolitans in Taiwan,Yasmin Zafirah;Yu-Kai Lin;Gerry Andhikaputra;Li-Wen Deng;Fung-Chang Sung;Yu-Chun Wang,PLOS ONE,2021,https://doi.org/10.1371/journal.pone.0253814
110,Fine particulate matter constituents associated with emergency room visits for pediatric asthma: a time-stratified case�crossover study in an urban area,Yu-Ni Ho;Fu-Jen Cheng;Ming-Ta Tsai;Chih-Min Tsai;Po-Chun Chuang;Chi-Yung Cheng,BMC Public Health,2021,https://doi.org/10.1186/s12889-021-11636-5
111,"Effects of Meteo-Climatic Factors on Hospital Admissions for Cardiovascular Diseases in the City of Bari, Southern Italy",Vito Telesca;Gianfranco Castronuovo;Gianfranco Favia;Cristina Marranchelli;Vito Alberto Pizzulli;Maria Ragosta,Healthcare,2023,https://doi.org/10.3390/healthcare11050690
112,Diurnal temperature range and childhood asthma: a time-series study,Zhiwei Xu;Cunrui Huang;Hong Su;Lyle R Turner;Zhen Qiao;Shilu Tong,Environmental Health,2013,https://doi.org/10.1186/1476-069X-12-12
113,Rainfall-Associated Bronchospasm Epidemics: The Epidemiological Effects of Air Pollutants and Weather Variables,Kambiz Masoumi;Maryam Haddadzadeh Shoushtari;Arash Forouzan;Ali Asgari Darian;Maryam Dastoorpoor;Pegah Ebrahimzadeh;Hamidreza Aghababaeian,Canadian Respiratory Journal,2017,https://doi.org/10.1155/2017/9252069
114,"pub_114 | Prevalence and associated factors of respiratory allergies in the Kingdom of Saudi Arabia: A cross-sectional investigation, September�December 2020",Ahmad Almatroudi;Ayman M Mousa;Divya Vinnakota;Adil Abalkhail;Ameen S S Alwashmi;Saleh A Almatroodi;Fahad A Alhumaydhi;Russell Kabir;Ilias Mahmud,PLOS ONE,2021,https://doi.org/10.1371/journal.pone.0253558
115,"Short-Term Exposure Effect of Ambient Fine Particulate Matter, Ozone and Cold Temperature on Emergency Room Visits for Asthma Patients",Chun-Gu Cheng;Shang-Yih Yen;Chih-Chun Hsiao;Yen-Yue Lin;Yin-Han Chang;Yu-Hsuan Chen;Chun-An Cheng,Toxics,2023,https://doi.org/10.3390/toxics11020094
116,The Joint Effects of Thunderstorms and Power Outages on Respiratory-Related Emergency Visits and Modifying and Mediating Factors of This Relationship,Shao Lin;Quan Qi;Han Liu;Xinlei Deng;Ian Trees;Xiaojun Yuan;Mary P Gallant,Environmental Health Perspectives,2024,https://doi.org/10.1289/EHP13237
117,"Early-Life Air Pollution Exposure, Neighborhood Poverty, and Childhood Asthma in the United States, 1990-2014",Nicole Kravitz-Wirtz;Samantha Teixeira;Anjum Hajat;Bongki Woo;Kyle Crowder;David Takeuchi,International Journal of Environmental Research and Public Health,2018,https://doi.org/10.3390/ijerph15061114
118,Relationship between exposure to ozone and exacerbation requiring hospital admission among patients with asthma: a case-control study in central Taiwan,Ching-Heng Lin;Li-Ting Wong;Jeng-Yuan Hsu;Wen-Cheng Chao,BMJ Open,2022,https://doi.org/10.1136/bmjopen-2021-050861
119,"A comparison of the effect of diurnal temperature range and apparent temperature on cardiovascular disease among farmers in Qingyang, Northwest China",Guangyu Zhai;Jintao Qi;Xuemei Zhang;Wenjuan Zhou;Jiancheng Wang,Environmental Science and Pollution Research,2022,https://doi.org/10.1007/s11356-021-17785-9
120,"The short-term effects of air pollutants on hospitalizations for respiratory disease in Hefei, China",Jingui Xie;Jie Teng;Yiming Fan;Ruijin Xie;Aizong Shen,International Journal of Biometeorology,2019,https://doi.org/10.1007/s00484-018-01665-y
121,Increased Risk of Hospital Admission for Asthma in Children From Short-Term Exposure to Air Pollution: Case-Crossover Evidence From Northern China,Yakun Zhao;Dehui Kong;Jia Fu;Yongqiao Zhang;Yuxiong Chen;Yanbo Liu;Zhen'ge Chang;Yijie Liu;Xiaole Liu;Kaifeng Xu;Chengyu Jiang;Zhongjie Fan,Frontiers in Public Health,2021,https://doi.org/10.3389/fpubh.2021.798746
122,Cumulative effect of indoor temperature on cardiovascular disease-related emergency department visits among older adults in Taiwan,Chien-Cheng Jung;Ying-Fang Hsia;Nai-Yun Hsu;Yu-Chun Wang;Huey-Jen Su,Science of The Total Environment,2020,https://doi.org/10.1016/j.scitotenv.2020.138958
123,The effects of high temperature on cardiovascular admissions in the most populous tropical city in Vietnam,Dung Phung;Yuming Guo;Phong Thai;Shannon Rutherford;Xiaoming Wang;Minh Nguyen;Cuong Manh Do;Nga Huy Nguyen;Noore Alam;Cordia Chu,Environmental Pollution,2016,https://doi.org/10.1016/j.envpol.2015.06.004
124,"Ambient Air Pollution and Risk of Admission Due to Asthma in the Three Largest Urban Agglomerations in Poland: A Time-Stratified, Case-Crossover Study",Piotr Dąbrowiecki;Andrzej Chciałowski;Agata Dąbrowiecka;Artur Badyda,International Journal of Environmental Research and Public Health,2022,https://doi.org/10.3390/ijerph19105988
125,Long-term impact of the 2014 Hazelwood coal mine fire on emergency department presentations in Australia,Catherine L Smith;Caroline X Gao;Rongbin Xu;Jillian F Ikin;Christina Dimitriadis;Matthew Tc Carroll;Malcolm R Sim;Dion Stub;Tyler J Lane;Michael J Abramson;Yuming Guo,Environmental Research,2023,https://doi.org/10.1016/j.envres.2023.115440
126,"The effects of weather, air pollutants, and Asian dust on hospitalization for asthma in Fukuoka",Kayo Ueda;Hiroshi Nitta;Hiroshi Odajima,Environmental Health and Preventive Medicine,2010,https://doi.org/10.1007/s12199-010-0150-5
127,Associations between ambient fine particulate (PM2.5) exposure and cardiovascular disease: findings from the China Health and Retirement Longitudinal Study (CHARLS),Xiaowei Mai;Houfeng Zhou;Yangyang Li;Xin Huang;Tao Yang,Environmental Science and Pollution Research,2022,https://doi.org/10.1007/s11356-021-16541-3
128,"Effect of Ambient Temperature on Daily Nebulized Asthma Hospital Visits in a Tropical City of Dhaka, Bangladesh",Ayesha Ferdosi Kabir;Chris Fook Sheng Ng;Shinya Yasumoto;Taiichi Hayashi;Chiho Watanabe,International Journal of Environmental Research and Public Health,2021,https://doi.org/10.3390/ijerph18030890
129,"Short-term exposure to various ambient air pollutants and emergency department visits for cause-stable ischemic heart disease: a time-series study in Shanghai, China",Yonghong Zhou;Yi Jin;Zheng Zhang,Scientific Reports,2023,https://doi.org/10.1038/s41598-023-44321-1
130,Environmental effects on acute exacerbations of respiratory diseases: A real-world big data study,Jennifer Fishe;Yi Zheng;Tianchen Lyu;Jiang Bian;Hui Hu,Science of The Total Environment,2022,https://doi.org/10.1016/j.scitotenv.2021.150352
131,Relationship between short-term exposure to sulfur dioxide and emergency ambulance dispatches due to cardiovascular disease,Xuerui Bai;Hongying Qu;Zebing Ye;Ruoting Wang;Guanhao He;Zhongguo Huang;Zhiying Jiang;Changfa Zhang;Shuai Li;Guowei Li,Environmental Epidemiology,2024,https://doi.org/10.1097/EE9.0000000000000341
132,The Influence of Fine Particulate Matter and Cold Weather on Emergency Room Interventions for Childhood Asthma,Chih-Chun Hsiao;Chun-Gu Cheng;Zih-Tai Hong;Yu-Hsuan Chen;Chun-An Cheng,Life,2024,https://doi.org/10.3390/life14050570
133,"Effect of ambient fine particulates (PM2.5) on hospital admissions for respiratory and cardiovascular diseases in Wuhan, China",Zhan Ren;Xingyuan Liu;Tianyu Liu;Dieyi Chen;Kuizhuang Jiao;Xiaodie Wang;Jingdong Suo;Haomin Yang;Jingling Liao;Lu Ma,Respiratory Research,2021,https://doi.org/10.1186/s12931-021-01731-x
134,"Time-series analysis of satellite-derived fine particulate matter pollution and asthma morbidity in Jackson, MS",Howard H Chang;Anqi Pan;David J Lary;Lance A Waller;Lei Zhang;Bruce T Brackin;Richard W Finley;Fazlay S Faruque,Environmental Monitoring and Assessment,2019,https://doi.org/10.1007/s10661-019-7421-4
135,Burden of disease attributed to ambient PM2.5 and PM10 exposure in 190 cities in China,Kamal Jyoti Maji;Mohit Arora;Anil Kumar Dikshit,Environmental Science and Pollution Research,2017,https://doi.org/10.1007/s11356-017-8575-7
136,New concentration-response functions for seven morbidity endpoints associated with short-term PM2.5 exposure and their implications for health impact assessment,Muye Ru;Drew Shindell;Joseph V Spadaro;Jean-François Lamarque;Ariyani Challapalli;Fabian Wagner;Gregor Kiesewetter,Environment International,2023,https://doi.org/10.1016/j.envint.2023.108122
137,"Short-term effects of ambient air pollution and cardiovascular events in Shiraz, Iran, 2009 to 2015",Zahra Soleimani;Ali Darvishi Boloorani;Reza Khalifeh;Dale W Griffin;Alireza Mesdaghinia,Environmental Science and Pollution Research,2019,https://doi.org/10.1007/s11356-018-3952-4
138,Effects of diurnal temperature range on cardiovascular and respiratory hospital admissions in Korea,Youn-Hee Lim;Yun-Chul Hong;Ho Kim,Science of The Total Environment,2012,https://doi.org/10.1016/j.scitotenv.2011.12.048
139,"Winter Temperature Inversions and Emergency Department Visits for Asthma in Salt Lake County, Utah, 2003-2008",John D Beard;Celeste Beck;Randall Graham;Steven C Packham;Monica Traphagan;Rebecca T Giles;John G Morgan,Environmental Health Perspectives,2012,https://doi.org/10.1289/ehp.1104349
140,"Urban air pollution, and asthma and COPD hospital emergency room visits",J I Halonen;T Lanki;T Yli-Tuomi;M Kulmala;P Tiittanen;J Pekkanen,Thorax,2008,https://doi.org/10.1136/thx.2007.091371
141,Thunderstorm Asthma Epidemic-A Systematic Review of the General Practice Perspective,Ambereen Farouque;Rae Walker;Bircan Erbas,International Journal of Environmental Research and Public Health,2020,https://doi.org/10.3390/ijerph17113796
142,"Short-term effects of main air pollutants exposure on LOS and costs of CVD hospital admissions from 30,959 cases among suburban farmers in Pingliang, Northwest China",Qunwu Zha;Guorong Chai;Zhe-George Zhang;Yongzhong Sha;Yana Su,Environmental Science and Pollution Research,2022,https://doi.org/10.1007/s11356-022-18870-3
143,Spatial autocorrelation may bias the risk estimation: An application of eigenvector spatial filtering on the risk of air pollutant on asthma,Yujin Park;Su Hwan Kim;Seong Pyo Kim;Jiwon Ryu;Jinyeong Yi;Jin Youp Kim;Hyung-Jin Yoon,Science of The Total Environment,2022,https://doi.org/10.1016/j.scitotenv.2022.157053
144,City housing atmospheric pollutant impact on emergency visit for asthma: A classification and regression tree approach,Julie Mazenq;Jean-Christophe Dubus;Jean Gaudart;Denis Charpin;Gilles Viudes;Guilhem Noel,Respiratory Medicine,2017,https://doi.org/10.1016/j.rmed.2017.09.004
145,Ozone and cause-specific cardiorespiratory morbidity and mortality,J I Halonen;T Lanki;P Tiittanen;J V Niemi;M Loh;J Pekkanen,Journal of Epidemiology & Community Health,2010,https://doi.org/10.1136/jech.2009.087106
146,"Effects of particulate matter on respiratory disease and the impact of meteorological factors in Busan, Korea",Eun-Jung Jo;Woo-Seop Lee;Hyun-Young Jo;Chang-Hoon Kim;Jung-Seop Eom;Jeong-Ha Mok;Mi-Hyun Kim;Kwangha Lee;Ki-Uk Kim;Min-Ki Lee;Hye-Kyung Park,Respiratory Medicine,2017,https://doi.org/10.1016/j.rmed.2017.02.010
147,Not available,Not available,International Journal of Chronic Obstructive Pulmonary Disease,,nil
148,"Effects of ambient temperature, humidity, and other meteorological variables on hospital admissions for angina pectoris",Maurizio G Abrignani;Salvatore Corrao;Giovan B Biondo;Renzo M Lombardo;Paola Di Girolamo;Annabella Braschi;Alberto Di Girolamo;Salvatore Novo,European Journal of Preventive Cardiology,2012,https://doi.org/10.1177/1741826711402741
149,Stormy weather: a retrospective analysis of demand for emergency medical services during epidemic thunderstorm asthma,Emily Andrew;Ziad Nehme;Stephen Bernard;Michael J Abramson;Ed Newbigin;Ben Piper;Justin Dunlop;Paul Holman;Karen Smith,BMJ,2017,https://doi.org/10.1136/bmj.j5636
150,Medium-term exposure to size-fractioned particulate matter and asthma exacerbations in China: A longitudinal study of asthmatics with poor medication adherence,Yufan Feng;Wenyi Zhang;Jing Wei;Dingyuan Jiang;Shilu Tong;Cunrui Huang;Zhiwei Xu;Xiling Wang;Junwen Tao;Zhiwei Li;Jihong Hu;Yongming Zhang;Jian Cheng,Ecotoxicology and Environmental Safety,2024,https://doi.org/10.1016/j.ecoenv.2024.116234
151,Patterns of medical care utilization according to environmental factors in asthma and chronic obstructive pulmonary disease patients,Eun-Jung Jo;Min-Hyeok Choi;Chang-Hoon Kim;Kyung-Mi Won;Yoo-Keun Kim;Ju-Hee Jeong;Hye Yeon An;Mi-Kyoung Hwang;Hye-Kyung Park,The Korean Journal of Internal Medicine,2021,https://doi.org/10.3904/kjim.2020.168
152,Association of allergic asthma emergency room visits with the main biological and chemical air pollutants,László Makra;István Matyasovszky;Beatrix Bálint,Science of The Total Environment,2012,https://doi.org/10.1016/j.scitotenv.2012.05.088
153,Environmental factors and respiratory hyper sensitivity: the Americas,R Bascom,Toxicology Letters,1996,https://doi.org/10.1016/0378-4274(96)03682-X
154,Fine Particulate Matter Constituents Associated with Cardiovascular Hospitalizations and Mortality in New York City,Kazuhiko Ito;Robert Mathes;Zev Ross;Arthur Nádas;George Thurston;Thomas Matte,Environmental Health Perspectives,2011,https://doi.org/10.1289/ehp.1002667
155,Air pollution and out-of-hospital cardiac arrest risk: a 7-year study from a highly polluted area,Luca Moderato;Daniela Aschieri;Davide Lazzeroni;Luca Rossi;Andrea Biagi;Simone Maurizio Binno;Alberto Monello;Valentina Pelizzoni;Concetta Sticozzi;Alessia Zanni;Alessandro Capucci;Stefano Nani;Diego Ardissino;Francesco Nicolini;Giampaolo Niccoli,European Heart Journal,2023,https://doi.org/10.1093/ehjacc/zuad105
156,"Impact of exposure to ambient air pollutants on the admission rate of hospitals for asthma disease in Shiraz, southern Iran",Ziaeddin Bonyadi;Hossein Arfaeinia;Moradali Fouladvand;Sima Farjadfard;Mohsen Omidvar;Bahman Ramavandi,Chemosphere,2021,https://doi.org/10.1016/j.chemosphere.2020.128091
157,The role of cold stress in predicting extra cardiovascular and respiratory admissions,Ivy Shiue;Stefan Muthers;Nick Bearman,International Journal of Cardiology,2014,https://doi.org/10.1016/j.ijcard.2013.12.122
158,Universal Climate Thermal Index as a prognostic tool in medical science in the context of climate change: A systematic review,Jerzy Romaszko;Ewa Dragańska;Rakesh Jalali;Iwona Cymes;Katarzyna Glińska-Lewczuk,Science of The Total Environment,2022,https://doi.org/10.1016/j.scitotenv.2022.154492
159,Tracking Associations Between Ambient Ozone and Asthma-Related Emergency Department Visits Using Case-Crossover Analysis,Chris Paulu;Andy E Smith,Journal of Public Health Management and Practice,2008,https://doi.org/10.1097/01.PHH.0000338371.53242.0e
160,"Effects of ambient air pollution on emergency room visits of children for acute respiratory symptoms in Delhi, India",Yadav et al. ,Environmental Science and Pollution Research,2021,https://doi.org/10.1007/s11356-021-13600-7
161,Ambient air pollution and emergency department visits for asthma: a multi-city assessment of effect modification by age,Brooke A Alhanti;Howard H Chang;Andrea Winquist;James A Mulholland;Lyndsey A Darrow;Stefanie Ebelt Sarnat,Journal of Exposure Science & Environmental Epidemiology,2016,https://doi.org/10.1038/jes.2015.57
162,Air quality and the frequency of emergency room visits for asthma,Not specified,Not specified,,https://doi.org/
163,Does the AQHI reduce cardiovascular hospitalization in Hong Kong's elderly population?,Tonya G Mason;C Mary Schooling;JinJun Ran;King-Pan Chan;Linwei Tian,Environment International,2020,https://doi.org/10.1016/j.envint.2019.105344
164,Causal effect of PM1 on morbidity of cause-specific respiratory diseases based on a negative control exposure,Shiyun Lv;Xiangtong Liu;Zhiwei Li;Feng Lu;Moning Guo;Mengmeng Liu;Jing Wei;Zhiyuan Wu;Siqi Yu;Shihong Li;Xia Li;Wenkang Gao;Lixin Tao;Wei Wang;Jinyuan Xin;Xiuhua Guo,Environmental Research,2023,https://doi.org/10.1016/j.envres.2022.114746
165,"Effect of ambient PM2.5 on healthcare utilisation for acute respiratory illness, Melbourne, Victoria, Australia, 2014-2019",Christopher R Bailie;Jo Kay C Ghosh;Martyn D Kirk;Sheena G Sullivan,Journal of the Air & Waste Management Association,2023,https://doi.org/10.1080/10962247.2022.2146810
166,"Short-term effects of exposure to particulate matter and air pollution on hospital admissions for asthma and chronic obstructive pulmonary disease in Gyeonggi-do, South Korea, 2007-2018",Chang Hoon Han;Haeyong Pak;Jae Ho Chung,Journal of Environmental Health Science and Engineering,2021,https://doi.org/10.1007/s40201-021-00709-7
167,"Air pollution and hospital admissions for cardiovascular disease in Taipei, Taiwan",Chih-Ching Chang;Shang-Shyue Tsai;Shu-Chen Ho;Chun-Yuh Yang,Environmental Research,2005,https://doi.org/10.1016/j.envres.2004.07.005
168,"Association between gaseous pollutants and emergency ambulance dispatches for asthma in Chengdu, China: a time-stratified case-crossover study",Jianyu Chen;Xianyan Jiang;Chunli Shi;Ruicong Liu;Rong Lu;Li Zhang,Environmental Health and Preventive Medicine,2019,https://doi.org/10.1186/s12199-019-0773-0
169,Temporal variations of short-term effects of particulate matter on hospital admissions in the most densely populated city in Thailand,Arthit Phosri;Tanasri Sihabut;Chate Jaikanlaya,Science of The Total Environment,2020,https://doi.org/10.1016/j.scitotenv.2020.140651
170,Association between air pollutants and outpatient and emergency hospital visits for childhood asthma in Shenyang city of China,Qing Chang;Shu Liu;Zongjiao Chen;Biao Zu;Hehua Zhang,International Journal of Biometeorology,2020,https://doi.org/10.1007/s00484-020-01934-9
171,Pediatric emergency department visits and ambient air pollution in the U.S. State of Georgia: a case-crossover study,Qingyang Xiao;Yang Liu;James A Mulholland;Armistead G Russell;Lyndsey A Darrow;Paige E Tolbert;Matthew J Strickland,Environmental Health,2016,https://doi.org/10.1186/s12940-016-0196-y
172,Environmental factors affecting seasonality of ambulance emergency service visits for exacerbations of asthma and COPD,Not specified,Not specified,,nil
173,"The association between local meteorological changes and exacerbation of acute wheezing in Kandy, Sri Lanka",N D B Ehelepola;Kusalika Ariyaratne;Amithe Jayaratne,Global Health Action,2018,https://doi.org/10.1080/16549716.2018.1482998
174,"Meteorological factors, aeroallergens and asthma-related visits in Kuwait: a 12-month retrospective study",Jafar A Qasem;Hassan Nasrallah;Bader N Al-Khalaf;Faysal Al-Sharifi;Ahmed Al-Sherafyee;Samirah A Almathkouri;Hussein Al-Saraf,Ann Saudi Med,2008,nil
175,"The effect of temperature on cardiovascular disease hospital admissions among elderly people in Thai Nguyen Province, Vietnam",Pham Ngan Giang;Do Van Dung;Kim Bao Giang;Hac Van Vinhc;Joacim Rocklöv,Global Health Action,2014,https://doi.org/10.3402/gha.v7.23649
176,Electrocardiogram abnormalities in residents in cold homes: a cross-sectional analysis of the nationwide Smart Wellness Housing survey in Japan,Wataru Umishio;Toshiharu Ikaga;Kazuomi Kario;Yoshihisa Fujino;Masaru Suzuki;Shintaro Ando;Tanji Hoshi;Takesumi Yoshimura;Hiroshi Yoshino;Shuzo Murakami;on behalf of the SWH Survey Group,Environmental Health and Preventive Medicine,2021,https://doi.org/10.1186/s12199-021-01024-1
177,Point source sulphur dioxide peaks and hospital presentations for asthma,A M Donoghue;M Thomas,Occupational and Environmental Medicine,1999,https://doi.org/10.1136/oem.56.4.232
178,"Thunderstorm asthma outbreak, a rare phenomenon in southwest Iran: patients� perspectives",Shohreh Rabiee;Hassan Mousavi;Morteza Abdullatif Khafaie,Environmental Science and Pollution Research,2018,https://doi.org/10.1007/s11356-018-3478-9
179,Ambient air pollution and daily hospital admissions for respiratory system-related diseases in a heavy polluted city in Northeast China,Qing Chang;Hehua Zhang;Yuhong Zhao,Environmental Science and Pollution Research,2020,https://doi.org/10.1007/s11356-020-07678-8
180,Air pollution and cardiovascular admissions association in Spain: results within the EMECAS project,F Ballester,Journal of Epidemiology & Community Health,2006,https://doi.org/10.1136/jech.2005.037978
181,"Does exposure to air pollution increase the risk of acute care in young children with asthma? An Ontario, Canada study",Teresa To;Jingqin Zhu;Emilie Terebessy;Kimball Zhang;Ivy Fong;Lauren Pinault;Michael Jerrett;Alain Robichaud;Richard Ménard;Aaron Van Donkelaar;Randall V Martin;Perry Hystad;Jeffrey R Brook;Sharon Dell;Dave Stieb,Environmental Research,2021,https://doi.org/10.1016/j.envres.2021.111302
182,"Cardiovascular morbidity risk attributable to thermal stress: analysis of emergency ambulance dispatch data from Shenzhen, China",Maidina Jingesi;Ziming Yin;Suli Huang;Ning Liu;Jiajia Ji;Ziquan Lv;Peng Wang;Ji Peng;Jinquan Cheng;Ping Yin,BMC Public Health,2024,https://doi.org/10.1186/s12889-024-20144-1
183,Estimating risk of emergency room visits for asthma from personal versus fixed site measurements of NO2,Scott Weichenthal;Patrick Bélisle;Eric Lavigne;Paul J Villeneuve;Amanda Wheeler;Xiaohong Xu;Lawrence Joseph,Environmental Research,2015,https://doi.org/10.1016/j.envres.2015.01.006
184,Effect of nitrogen dioxide and ozone on the risk of dying in patients with severe asthma,J Sunyer,Thorax,2002,https://doi.org/10.1136/thorax.57.8.687
185,"Association between hospital emergency visits for asthma and air pollution in Valencia, Spain",J M Tenías;F Ballester;M L Rivera,Occupational and Environmental Medicine,1998,https://doi.org/10.1136/oem.55.8.541
186,"Air Quality and Pediatric Emergency Room Visits for Asthma in Atlanta, Georgia",Paige E Tolbert;James A Mulholland;David L Macintosh;Fan Xu;Danni Daniels;Owen J Devine;Bradley P Carlin;Mitchel Klein;Jenny Dorley;Andre J Butler;Dale F Nordenberg;Howard Frumkin;P Barry Ryan;Mary C White,Not specified,2000,nil
187,"Effect modification by sex for associations of fine particulate matter (PM2.5) with cardiovascular mortality, hospitalization, and emergency room visits: systematic review and meta-analysis",Seulkee Heo;Ji-Young Son;Chris C Lim;Kelvin C Fong;Hayon Michelle Choi;Raul U Hernandez-Ramirez;Kate Nyhan;Preet K Dhillon;Suhela Kapoor;Dorairaj Prabhakaran;Donna Spiegelman;Michelle L Bell,Environmental Research Letters,2022,https://doi.org/10.1088/1748-9326/ac6cfb
188,Evaluation of the Impact of Black Carbon on the Worsening of Allergic Respiratory Diseases in the Region of Western Serbia: A Time-Stratified Case-Crossover Study,Vesna Tomić-Spirić;Gordana Kovačević;Jelena Marinković;Janko Janković;Anđa Ćirković;Ana Milošević Đerić;Nenad Relić;Slavenka Janković,Medicina,2019,https://doi.org/10.3390/medicina55060261
189,"Desert dust outbreaks and respiratory morbidity in Athens, Greece",Stavroula-Myrto Trianti;Evangelia Samoli;Sophia Rodopoulou;Klea Katsouyanni;Spyros A Papiris;Anna Karakatsani,Environmental Health,2017,https://doi.org/10.1186/s12940-017-0281-x
190,Effects of particulate matter on hospital admissions for respiratory diseases: an ecological study based on 12.5 years of time series data in Shanghai,Wenjia Peng;Hao Li;Li Peng;Ying Wang;Weibing Wang,Environmental Health,2022,https://doi.org/10.1186/s12940-021-00828-6
191,The relationship of short-term air pollution and weather to ED visits for asthma in Japan,Toshikazu Abe;Yasuharu Tokuda;Sachiko Ohde;Shinichi Ishimatsu;Tomohiko Nakamura;Richard B Birrer,The American Journal of Emergency Medicine,2009,https://doi.org/10.1016/j.ajem.2008.01.013
192,Assessing the association between fine particulate matter (PM2.5) constituents and cardiovascular diseases in a mega-city of Pakistan,Yi Lu;Shao Lin;Zafar Fatmi;Daniel Malashock;Mirza M Hussain;Azhar Siddique;David O Carpenter;Ziqiang Lin;Haider A Khwaja,Environmental Pollution,2019,https://doi.org/10.1016/j.envpol.2019.06.078
193,Impact of Extremely Hot Days on Emergency Department Visits for Cardiovascular Disease among Older Adults in New York State,Mengxuan Li;Benjamin A Shaw;Wangjian Zhang;Elizabeth Vásquez;Shao Lin,International Journal of Environmental Research and Public Health,2019,https://doi.org/10.3390/ijerph16122119
194,Age-Specific Associations of Ozone and Fine Particulate Matter with Respiratory Emergency Department Visits in the United States,Heather M Strosnider;Howard H Chang;Lyndsey A Darrow;Yang Liu;Ambarish Vaidyanathan;Matthew J Strickland,American Journal of Respiratory and Critical Care Medicine,2019,https://doi.org/10.1164/rccm.201806-1147OC
